"name_full","name_sort","year_born","year_died","is_dead","org_acronym"
"Crimson Dragon","Crimson Dragon",,,"0","TNA"
"Curt Hennig","Curt Hennig","1958","2003","1","TNA"
"Dale Torborg","Dale Torborg",,,"0","TNA"
"Danny Doring","Danny Doring",,,"0","TNA"
"David Flair","David Flair",,,"0","TNA"
"David Young","David Young",,,"0","TNA"
"Delirious","Delirious",,,"0","TNA"
"Derek Wylde","Derek Wylde",,,"0","TNA"
"Desire","Desire",,,"0","TNA"
"Devon Storm","Devon Storm",,,"0","TNA"
"Diamond Dallas Page","Diamond Dallas Page",,,"0","TNA"
"The Disciples of the New Church","Disciples of the New Church",,,"0","TNA"
"Glenn Gilberti","Glenn Gilberti",,,"0","TNA"
"Disgraceland","Disgraceland",,,"0","TNA"
"D'Lo Brown","D'Lo Brown",,,"0","TNA"
"Don Callis","Don Callis",,,"0","TNA"
"Don Harris","Don Harris",,,"0","TNA"
"D-Ray 3000","D-Ray 3000",,,"0","TNA"
"Dustin Diamond","Dustin Diamond","1977","2021","1","TNA"
"Dustin Rhodes","Dustin Rhodes",,,"0","TNA"
"Dusty Rhodes","Dusty Rhodes","1945","2015","1","TNA"
"Ed Ferrara","Ed Ferrara",,,"0","TNA"
"Edward Chastain","Edward Chastain",,,"0","TNA"
"Ekmo Fatu","Ekmo Fatu","1973","2009","1","TNA"
"Elix Skipper","Elix Skipper",,,"0","TNA"
"The Empire Saint","Empire Saint",,,"0","TNA"
"Eric Stevens","Eric Stevens",,,"0","TNA"
"Eric Young","Eric Young",,,"0","TNA"
"Erik Watts","Erik Watts",,,"0","TNA"
"The Extreme Revolution","Extreme Revolution",,,"0","TNA"
"EZ Money","EZ Money",,,"0","TNA"
"Fake Spirit Squad","Fake Spirit Squad",,,"0","TNA"
"Fake Sting - Classic (Eric Young)","Fake Sting - Classic (Eric Young)",,,"0","TNA"
"Fake Sting - Crow (Chris Harris)","Fake Sting - Crow (Chris Harris)",,,"0","TNA"
"Fake Sting - Retired (Monty Brown)","Fake Sting - Retired (Monty Brown)",,,"0","TNA"
"Francine","Francine",,,"0","TNA"
"Frankie Capone","Frankie Capone","1975","2024","1","TNA"
"Frankie Sloan","Frankie Sloan",,,"0","TNA"
"Gail Kim","Gail Kim",,,"0","TNA"
"The Gathering","Gathering",,,"0","TNA"
"Goldy Locks","Goldy Locks",,,"0","TNA"
"Harley Race","Harley Race","1943","2019","1","TNA"
"Heavy Metal","Heavy Metal",,,"0","TNA"
"Hector Garza","Hector Garza","1969","2013","1","TNA"
"Hector Guerrero","Hector Guerrero",,,"0","TNA"
"Hermie Sadler","Hermie Sadler",,,"0","TNA"
"Hernandez","Hernandez",,,"0","TNA"
"Hirooki Goto","Hirooki Goto",,,"0","TNA"
"Hiroshi Tanahashi","Hiroshi Tanahashi",,,"0","TNA"
"Homicide","Homicide",,,"0","TNA"
"Ian Harrison","Ian Harrison",,,"0","TNA"
"Incognito","Incognito",,,"0","TNA"
"Irish Pat Kenney","Irish Pat Kenney",,,"0","TNA"
"Jack Evans","Jack Evans",,,"0","TNA"
"Jackie Moore","Jackie Moore",,,"0","TNA"
"Jake Roberts","Jake Roberts",,,"0","TNA"
"James Mitchell","James Mitchell",,,"0","TNA"
"James Storm","James Storm",,,"0","TNA"
"Jasmine St. Claire","Jasmine St. Claire",,,"0","TNA"
"Jason Cross","Jason Cross",,,"0","TNA"
"Jay Lethal","Jay Lethal",,,"0","TNA"
"Jeff Hammond","Jeff Hammond",,,"0","TNA"
"Jeff Hardy","Jeff Hardy",,,"0","TNA"
"Jeff Jarrett","Jeff Jarrett",,,"0","TNA"
"Jerrelle Clark","Jerrelle Clark",,,"0","TNA"
"Jerry Lynn","Jerry Lynn",,,"0","TNA"
"Jim Cornette","Jim Cornette",,,"0","TNA"
"Jimmy Hart","Jimmy Hart",,,"0","TNA"
"Jimmy Rave","Jimmy Rave","1982","2021","1","TNA"
"Jimmy Snuka","Jimmy Snuka","1943","2017","1","TNA"
"Jimmy Yang","Jimmy Yang",,,"0","TNA"
"Joel Maximo","Joel Maximo",,,"0","TNA"
"Joey Idol","Joey Idol",,,"0","TNA"
"Joey Matthews","Joey Matthews",,,"0","TNA"
"Johnny B. Badd","Johnny B. Badd",,,"0","TNA"
"Johnny Devine","Johnny Devine",,,"0","TNA"
"Jonny Fairplay","Jonny Fairplay",,,"0","TNA"
"Johnny Swinger","Johnny Swinger",,,"0","TNA"
"Jonah (Jonah Adelman)","Jonah",,,"0","TNA"
"Jonny Storm","Jonny Storm",,,"0","TNA"
"Jorge Estrada","Jorge Estrada",,,"0","TNA"
"Jose Maximo","Jose Maximo",,,"0","TNA"
"Josh Daniels","Josh Daniels",,,"0","TNA"
"Messias","Messias",,,"0","TNA"
"Julio Dinero","Julio Dinero",,,"0","TNA"
"Junior Fatu","Junior Fatu",,,"0","TNA"
"Jushin 'Thunder' Liger","Jushin 'Thunder' Liger",,,"0","TNA"
"Justin Credible","Justin Credible",,,"0","TNA"
"Juventud Guerrera","Juventud Guerrera",,,"0","TNA"
"Karen Jarrett","Karen Jarrett",,,"0","TNA"
"Frankie Kazarian","Frankie Kazarian",,,"0","TNA"
"Ken Shamrock","Ken Shamrock",,,"0","TNA"
"Kenzo Suzuki","Kenzo Suzuki",,,"0","TNA"
